iter	Passed	Remaining
412	3456	4912
413	3464	4903
414	3472	4894
415	3480	4886
416	3488	4877
417	3496	4868
418	3505	4860
419	3513	4852
420	3522	4844
421	3530	4835
422	3538	4826
423	3546	4817
424	3554	4809
425	3562	4800
426	3570	4791
427	3578	4783
428	3586	4774
429	3595	4765
430	3602	4756
431	3611	4748
432	3619	4739
433	3627	4730
434	3635	4722
435	3644	4714
436	3653	4706
437	3661	4697
438	3669	4689
439	3677	4680
440	3685	4671
441	3692	4661
442	3700	4653
443	3708	4644
444	3716	4635
445	3724	4626
446	3732	4617
447	3740	4608
448	3748	4600
449	3756	4591
450	3764	4582
451	3772	4574
452	3781	4565
453	3789	4557
454	3797	4548
455	3805	4539
456	3813	4530
457	3820	4521
458	3828	4512
459	3836	4503
460	3844	4494
461	3852	4486
462	3860	4477
463	3868	4468
464	3876	4459
465	3884	4451
466	3893	4443
467	3901	4435
468	3910	4426
469	3918	4418
470	3926	4410
471	3935	4401
472	3943	4393
473	3951	4385
474	3959	4376
475	3968	4368
476	3976	4360
477	3985	4352
478	3993	4344
479	4001	4335
480	4009	4326
481	4018	4318
482	4026	4309
483	4034	4301
484	4043	4293
485	4050	4284
486	4059	4275
487	4067	4267
488	4075	4258
489	4083	4249
490	4091	4241
491	4100	4233
492	4109	4225
493	4116	4216
494	4124	4207
495	4132	4199
496	4140	4190
497	4148	4182
498	4157	4173
499	4165	4165
500	4173	4156
501	4181	4148
502	4189	4139
503	4197	4130
504	4204	4121
505	4212	4112
506	4220	4103
507	4228	4095
508	4236	4086
509	4243	4077
510	4251	4068
511	4259	4059
512	4266	4050
513	4274	4042
514	4282	4032
515	4289	4023
516	4297	4014
517	4304	4005
518	4312	3996
519	4320	3988
520	4328	3979
521	4336	3970
522	4343	3961
523	4351	3952
524	4359	3944
525	4367	3935
526	4375	3926
527	4383	3918
528	4391	3909
529	4399	3901
530	4407	3893
531	4417	3886
532	4427	3878
533	4435	3870
534	4442	3861
535	4450	3852
536	4458	3844
537	4466	3835
538	4474	3827
539	4482	3818
540	4491	3810
541	4500	3802
542	4508	3794
543	4516	3785
544	4523	3776
545	4531	3767
546	4539	3759
547	4547	3751
548	4556	3743
549	4565	3735
550	4574	3727
551	4582	3719
552	4590	3710
553	4598	3702
554	4606	3693
555	4614	3684
556	4622	3676
557	4630	3667
558	4638	3659
559	4647	3651
560	4655	3643
561	4663	3634
562	4672	3626
563	4680	3618
564	4688	3610
565	4697	3601
566	4705	3593
567	4713	3584
568	4721	3576
569	4729	3567
570	4737	3559
571	4745	3550
572	4753	3542
573	4760	3533
574	4768	3524
575	4776	3515
576	4784	3507
577	4792	3498
578	4800	3490
579	4808	3481
580	4816	3473
581	4825	3465
582	4833	3457
583	4841	3448
584	4850	3440
585	4857	3432
586	4865	3423
587	4873	3414
588	4882	3406
589	4890	3398
590	4898	3390
591	4906	3381
592	4914	3372
593	4923	3364
594	4931	3356
595	4939	3348
596	4947	3340
597	4956	3331
598	4964	3323
599	4972	3314
600	4980	3306
601	4988	3298
602	4996	3289
603	5004	3281
604	5012	3272
605	5023	3266
606	5031	3257
607	5039	3249
608	5047	3240
609	5055	3232
610	5063	3223
611	5071	3215
612	5079	3206
613	5087	3198
614	5095	3189
615	5103	3181
616	5111	3172
617	5119	3164
618	5127	3155
619	5135	3147
620	5144	3139
621	5152	3131
622	5160	3122
623	5167	3114
624	5176	3105
625	5183	3097
626	5192	3088
627	5200	3080
628	5208	3071
629	5216	3063
630	5224	3055
631	5232	3046
632	5240	3038
633	5248	3029
634	5255	3020
635	5263	3012
636	5271	3004
637	5279	2995
638	5287	2986
639	5294	2978
640	5303	2970
641	5311	2961
642	5318	2953
643	5327	2944
644	5334	2936
645	5342	2927
646	5349	2918
647	5358	2910
648	5366	2902
649	5375	2894
650	5383	2885
651	5390	2877
652	5399	2869
653	5406	2860
654	5414	2852
655	5422	2843
656	5430	2835
657	5438	2826
658	5446	2818
659	5454	2809
660	5462	2801
661	5470	2793
662	5479	2785
663	5487	2776
664	5495	2768
665	5503	2760
666	5511	2751
667	5519	2743
668	5526	2734
669	5534	2725
670	5542	2717
671	5550	2709
672	5558	2700
673	5566	2692
674	5574	2683
675	5582	2675
676	5589	2666
677	5597	2658
678	5605	2649
679	5613	2641
680	5622	2633
681	5631	2625
682	5639	2617
683	5647	2608
684	5654	2600
685	5662	2591
686	5670	2583
687	5678	2574
688	5685	2566
689	5693	2558
690	5701	2549
691	5709	2541
692	5717	2532
693	5725	2524
694	5733	2516
695	5741	2507
696	5749	2499
697	5756	2490
698	5765	2482
699	5772	2474
700	5780	2465
701	5788	2457
702	5796	2448
703	5804	2440
704	5812	2432
705	5819	2423
706	5827	2415
707	5835	2406
708	5843	2398
709	5851	2389
710	5859	2381
711	5866	2373
712	5874	2364
713	5883	2356
714	5890	2348
715	5898	2339
716	5906	2331
717	5914	2322
718	5922	2314
719	5930	2306
720	5938	2297
721	5946	2289
722	5955	2281
723	5962	2273
724	5970	2264
725	5978	2256
726	5986	2248
727	5994	2239
728	6002	2231
729	6010	2223
730	6018	2214
731	6026	2206
732	6034	2198
733	6042	2189
734	6050	2181
735	6058	2173
736	6066	2164
737	6074	2156
738	6091	2151
739	6099	2142
740	6107	2134
741	6115	2126
742	6123	2118
743	6131	2109
744	6139	2101
745	6147	2093
746	6155	2084
747	6163	2076
748	6170	2067
749	6178	2059
750	6186	2051
751	6195	2043
752	6203	2034
753	6211	2026
754	6218	2018
755	6226	2009
756	6235	2001
757	6243	1993
758	6251	1984
759	6259	1976
760	6267	1968
761	6275	1959
762	6283	1951
763	6290	1943
764	6298	1934
765	6306	1926
766	6314	1918
767	6322	1909
768	6330	1901
769	6338	1893
770	6346	1885
771	6354	1876
772	6362	1868
773	6370	1860
774	6378	1851
775	6386	1843
776	6393	1834
777	6401	1826
778	6409	1818
779	6416	1809
780	6425	1801
781	6433	1793
782	6440	1785
783	6449	1776
784	6456	1768
785	6465	1760
786	6473	1752
787	6481	1743
788	6488	1735
789	6496	1726
790	6503	1718
791	6511	1710
792	6519	1701
793	6527	1693
794	6534	1685
795	6542	1676
796	6549	1668
797	6557	1659
798	6565	1651
799	6573	1643
800	6581	1635
801	6589	1626
802	6597	1618
803	6605	1610
804	6613	1601
805	6621	1593
806	6630	1585
807	6638	1577
808	6646	1569
809	6655	1561
810	6663	1552
811	6672	1544
812	6681	1536
813	6690	1528
814	6698	1520
815	6706	1512
816	6715	1504
817	6723	1495
818	6731	1487
819	6739	1479
820	6747	1471
821	6755	1462
822	6763	1454
823	6771	1446
824	6779	1438
825	6787	1429
826	6795	1421
827	6803	1413
828	6811	1405
829	6820	1396
830	6828	1388
831	6836	1380
832	6845	1372
833	6853	1364
834	6861	1355
835	6869	1347
836	6878	1339
837	6887	1331
838	6895	1323
839	6904	1315
840	6912	1306
841	6921	1298
842	6930	1290
843	6938	1282
844	6946	1274
845	6955	1266
846	6962	1257
847	6971	1249
848	6979	1241
849	6987	1233
850	6996	1224
851	7004	1216
852	7013	1208
853	7021	1200
854	7030	1192
855	7038	1184
856	7046	1175
857	7054	1167
858	7063	1159
859	7071	1151
860	7079	1142
861	7087	1134
862	7096	1126
863	7104	1118
864	7112	1110
865	7120	1101
866	7129	1093
867	7137	1085
868	7146	1077
869	7154	1069
870	7162	1060
871	7170	1052
872	7179	1044
873	7187	1036
874	7194	1027
875	7202	1019
876	7210	1011
877	7218	1003
878	7226	994
879	7234	986
880	7242	978
881	7250	970
882	7259	961
883	7267	953
884	7275	945
885	7283	937
886	7291	928
887	7298	920
888	7306	912
889	7314	904
890	7322	895
891	7330	887
892	7338	879
893	7346	871
894	7354	862
895	7361	854
896	7369	846
897	7377	837
898	7385	829
899	7393	821
900	7401	813
901	7409	804
902	7417	796
903	7425	788
904	7433	780
905	7440	772
906	7448	763
907	7456	755
908	7464	747
909	7472	739
910	7481	730
911	7489	722
912	7497	714
913	7504	706
914	7512	697
915	7520	689
916	7528	681
917	7536	673
918	7544	664
919	7551	656
920	7559	648
921	7567	640
922	7575	631
923	7582	623
924	7590	615
925	7599	607
926	7606	599
927	7614	590
928	7622	582
929	7630	574
930	7637	566
931	7645	557
932	7653	549
933	7661	541
934	7669	533
935	7677	524
936	7685	516
937	7692	508
938	7700	500
939	7707	491
940	7715	483
941	7723	475
942	7731	467
943	7739	459
944	7747	450
945	7755	442
946	7762	434
947	7770	426
948	7778	418
949	7785	409
950	7793	401
951	7801	393
952	7809	385
